unitid,"cipcode",awlevel,"xcrace01",crace01,"xcrace02",crace02,"xcrace03",crace03,"xcrace04",crace04,"xcrace05",crace05,"xcrace06",crace06,"xcrace07",crace07,"xcrace08",crace08,"xcrace09",crace09,"xcrace10",crace10,"xcrace11",crace11,"xcrace12",crace12,"xcrace13",crace13,"xcrace14",crace14,"xcrace15",crace15,"xcrace16",crace16
100636,"49.9999",3,"Z",0,"Z",0,"R",52,"R",15,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",142,"R",43,"R",16,"Z",0,"R",210,"R",58
100636,"50.0699",3,"Z",0,"Z",0,"R",3,"R",4,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",29,"R",15,"R",3,"R",2,"R",35,"R",22
100636,"50.0901",3,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",11,"R",1,"Z",0,"Z",0,"R",12,"R",1
100636,"51.0601",3,"Z",0,"Z",0,"R",9,"R",10,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",18,"R",9,"R",1,"R",3,"R",28,"R",22
100636,"51.0603",3,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",5,"R",3,"R",1,"R",19,"R",8
100636,"51.0799",3,"Z",0,"Z",0,"R",16,"R",9,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",43,"R",39,"R",6,"R",6,"R",65,"R",54
100636,"51.0805",3,"Z",0,"Z",0,"R",5,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"R",14,"R",1,"R",2,"R",18,"R",20
100636,"51.0806",3,"Z",0,"Z",0,"R",3,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",16,"R",9,"R",2,"Z",0,"R",21,"R",11
100636,"51.0901",3,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"Z",0,"Z",0,"R",1,"R",9,"R",1
100636,"51.0905",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",3,"Z",0
100636,"51.0907",3,"Z",0,"Z",0,"R",3,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",22,"R",12,"R",2,"R",4,"R",27,"R",21
100636,"51.0909",3,"Z",0,"Z",0,"R",2,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"R",13,"R",2,"R",2,"R",16,"R",20
100636,"51.1002",3,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"Z",0,"R",1,"R",4,"R",2
100636,"51.1004",3,"Z",0,"Z",0,"R",7,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",38,"R",28,"R",4,"R",5,"R",49,"R",37
100636,"51.1313",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",5,"Z",0,"Z",0,"R",8,"R",5
100636,"51.1502",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"R",14,"R",4,"R",2,"R",16,"R",16
100636,"51.1802",3,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"Z",0,"R",1,"R",4,"R",2
100636,"51.2202",3,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",8,"Z",0,"R",1,"R",6,"R",11
100636,"51.2206",3,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",26,"R",15,"R",2,"R",2,"R",30,"R",18
100636,"51.2299",3,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",7,"Z",0,"Z",0,"R",4,"R",8
100636,"51.2702",3,"Z",0,"Z",0,"R",3,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",4,"Z",0,"Z",0,"R",10,"R",5
100636,"51.9999",3,"Z",0,"Z",0,"R",20,"R",31,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",105,"R",94,"R",9,"R",9,"R",135,"R",134
